Sitename,Category,Address,Borough,Zip,Latitude,Longitude
Duane Reade Drug Store,rechargeable,17 John St,New York,10038,40.7099702,-74.0087412
Duane Reade,rechargeable,185 Greenwich St,New York,10007,40.7110759,-74.0120239
Duane Reade Drug Store,rechargeable,185 Greenwich Street,New York,10007,40.7110759,-74.0120239
Duane Reade Drug Store,rechargeable,200 Water St,New York,10038,40.7074942,-74.0045161
Duane Reade Drug Store,rechargeable,315 N End Ave,New York,10282,40.7167353,-74.0150665
Duane Reade Drug Store,rechargeable,95 Wall St,New York,10005,40.7047759,-74.0077026
Trek Bicycle Bowery,ebike,303 Bowery,New York,10003,40.7245492,-73.9921719
Brompton Bicycle,ebike,287 Bleecker Street,New York,10014,40.7321114,-74.003277
Walgreens,rechargeable,194 E 2Nd St,New York,10009,40.722343,-73.9836916
Staples #1106,rechargeable;singleuse;cellphones,769 Broadway,New York,10003,40.7310912,-73.99231379999999
Garber Hardware,rechargeable;cellphones,710 Greenwich St,New York,10014,40.7339862,-74.00747919999999
Staples #0953,rechargeable;singleuse;cellphones,5 Union Sq W # 9,New York,10003,40.7357519,-73.99179509999999
Trek Bicycle Stuyvesant Town,ebike,288 First Ave,New York,10009,40.733081,-73.98082649999999
Trek Bicycle Cobble Hill,ebike,256 Court St ,Brooklyn,11231,40.685332,-73.99472469999999
J and M Hardware,rechargeable;cellphones,19 E 21st St,New York,10010,40.7397427,-73.988951
Propel - Brooklyn,ebike,134 Flushing Ave,Brooklyn,11205,40.69773989999999,-73.9713618
Trek Bicycle Chelsea,ebike,183 8th Ave,New York,10011,40.74321750000001,-74.0002884
Trek Bikes Chelsea,ebike,183 8th Ave,New York,10011,40.74321750000001,-74.0002884
The Home Depot,rechargeable,40 W 23rd St,New York,10010,40.7419657,-73.9913507
uBreakiFix,rechargeable;cellphones,392 Court St.,Brooklyn,11231,40.680916,-73.9968236
Duane Reade Drug Store,rechargeable,777 Avenue Of The Americas,New York,10001,40.7452317,-73.9915041
Mazzone Hardware,rechargeable,470 Court St. Corner 4th Place,Brooklyn,11231,40.6781039,-73.9981612
Walgreen Drug Store,rechargeable,285 Broadway,Brooklyn,11211,40.7086918,-73.9584688
Beyond Vape,rechargeable;cellphones,40 W 31st St,New York,10001,40.7472535,-73.9880661
Ride Brooklyn,ebike,187 4th Ave,Brooklyn,11217,40.678103,-73.98222659999999
Duane Reade Drug Store,rechargeable,155 E 34Th St,New York,10016,40.746232,-73.978689
Mazzone Hardware,rechargeable,476 Bergen St,Brooklyn,11217,40.6806921,-73.9756439
B and H Photo Video,rechargeable;cellphones,420 9th Ave,New York,10001,40.7528697,-73.9961337
Staples #0957,rechargeable;singleuse;cellphones,348 4th Ave,Brooklyn,11215,40.67414249999999,-73.9867678
Staples #1574,rechargeable;singleuse;cellphones,500 8th Ave,New York,10018,40.7530537,-73.9926311
Lowe's,rechargeable;cellphones;highenergybattery,118 2nd Ave,Brooklyn,11215,40.6718139,-73.99588039999999
Recycle-A-Bicycle,ebike,858 Fulton St,Brooklyn,11238,40.68336499999999,-73.9670711
