Sitename,Address,Borough,Zip,Latitude,Longitude,Category
Best Buy,8923 Bay Pkwy,Brooklyn,11214,40.59360561,-73.99907225,Electronics
Recycle Your Devices,1885 Victory Blvd,Staten Island,10314,40.61714326,-74.12507436,Electronics
WE Pickups LLC,432 Austin Place #408,Bronx,10455,40.8090356,-73.9053482,Electronics
Apple Store,2655 Richmond Ave,Staten Island,10314,40.58187,-74.165866,Electronics
Staples,90-30 Metropolitan Ave,Queens,11374,40.71103454,-73.85841309,Electronics
Staples,5-9 Union Square W,Manhattan,10003,40.7354498,-73.9915753,Electronics
Goodwill,44 W 8 St,Manhattan,10011,40.732951,-73.998643,Electronics
Salvation Army,208 8 Ave,Manhattan,10011,40.743678,-73.999235,Electronics
Staples,251-21 Jericho Turnpike,Queens,11426,40.72765982,-73.71333697,Electronics
Salvation Army,6822 3 Ave,Brooklyn,11220,40.6362001,-74.0260663,Electronics
Staples,24-41 31 St,Queens,11102,40.77122118,-73.91629611,Electronics
J&J Recycling,1641 Richmond Terrace,Staten Island,10310,40.6403145,-74.1212432,Electronics
Staples,5110 Broadway,Queens,11377,40.7538623,-73.9089981,Electronics
Staples,348 4th Ave,Brooklyn,11215,40.67418233,-73.98677487,Electronics
Salvation Army,436 Atlantic Ave,Brooklyn,11217,40.6863101,-73.9838984,Electronics
Apple Store,123 Flatbush Ave,Brooklyn,11217,40.686202,-73.978499,Electronics
Goodwill,258 Livingston St,Brooklyn,11201,40.6887457,-73.9842131,Electronics
Best Buy,369 Gateway Dr,Brooklyn,11239,40.65154222,-73.87262128,Electronics
Staples,1885 Hylan Blvd,Staten Island,10306,40.5838147,-74.0962032,Electronics
Apple Store,90-15 Queens Blvd,Queens,11373,40.734566,-73.870652,Electronics
Goodwill,103 W 25 St,Manhattan,10001,40.7444737,-73.9921732,Electronics
Apple Store,247 Bedford Ave,Brooklyn,11211,40.71561,-73.959746,Electronics
WALTER,138 Hinsdale St,Brooklyn,11207,40.67227998,-73.90107948,Electronics
Best Buy,531 5th Ave,Manhattan,10017,40.75483614,-73.97963772,Electronics
Staples,800 Third Ave,Manhattan,10022,40.75570567,-73.97138626,Electronics
Goodwill,1114 1 Ave,Manhattan,10065,40.760863,-73.960668,Electronics
Apple Store,767 5 Ave,Manhattan,10153,40.763609,-73.972435,Electronics
"Green Chip, Inc.",540 Kingland Ave,Brooklyn,11222,40.73570942,-73.94439373,Electronics
Staples,2040 White Plains Rd,Bronx,10462,40.85207672,-73.86737946,Electronics
Salvation Army,536 W 46 St,Manhattan,10036,40.762665,-73.995377,Electronics
Best Buy,8801 Queens Blvd,Queens,11373,40.7357438,-73.87448827,Electronics
Staples,330-340 Baychester Ave,Bronx,10475,40.86768776,-73.82893736,Electronics
Staples,1280 Lexington Ave,Manhattan,10028,40.7798872,-73.9557037,Electronics
Apple Store,185 Greenwich St,Manhattan,10007,40.711639,-74.012343,Electronics
DSNY Special Waste Drop-Off Site,12015 31 Ave,Queens,11354,40.77123,-73.84757,Electronics
"Scrap King Greenpoint, LLC",374 Greenpoint Ave,Brooklyn,11222,40.7318987,-73.9443865,Electronics
Staples,641 6 Ave,Manhattan,10011,40.7407266,-73.9948313,Electronics
Irving Rubber & Metal Co,9525 Ditmas Ave,Brooklyn,11236,40.65102651,-73.91076274,Electronics
Best Buy,402 E Fordham Rd,Bronx,10458,40.86087263,-73.89167099,Electronics
Scrap King USA Inc,99 19th St,Brooklyn,11232,40.6655837,-73.9970059,Electronics
Staples,535 Morgan Ave,Brooklyn,11222,40.72230119,-73.93917165,Electronics
Salvation Army,2359 Jerome Ave,Bronx,10468,40.860358,-73.9030775,Electronics
Best Buy,60 W 23 St,Manhattan,10010,40.7423606,-73.9923849,Electronics
"T&T Scrap, LLC",340 Maspeth Ave,Brooklyn,11211,40.7180546,-73.9304626,Electronics
Staples,1755 Broadway,Manhattan,10019,40.766011,-73.98214997,Electronics
Staples,105 W 125th St,Manhattan,10027,40.80827765,-73.94594495,Electronics
Salvation Army,493 Mosel Ave,Staten Island,10304,40.60521855,-74.0838506,Electronics
DSNY Special Waste Drop-Off Site,2 Farragut St,Bronx,10474,40.801686,-73.87343,Electronics
Staples,442 5th Ave,Manhattan,10018,40.75198,-73.9824833,Electronics
Staples,2892 Ocean Ave,Brooklyn,11235,40.5908736,-73.9503307,Electronics
Salvation Army,1294 Southern Blvd,Bronx,10459,40.8306088,-73.891455,Electronics
Goodwill,1704 2 Ave,Manhattan,10128,40.7793,-73.950294,Electronics
Staples,209-34 Northern Blvd,Queens,11361,40.75909625,-73.77302777,Electronics
Best Buy,622 Broadway,Manhattan,10012,40.7258471,-73.99621957,Electronics
Staples,5680 Broadway,Bronx,10463,40.88108777,-73.90227651,Electronics
Goodwill,7 W 14 St,Manhattan,10011,40.736697,-73.994165,Electronics
"PASCAP Co., Inc.",4250 Boston Rd,Bronx,10475,40.8882201,-73.8225387,Electronics
Apple Store,45 Grand Central Terminal,Manhattan,10017,40.752642,-73.977279,Electronics
Best Buy,13107 40th Rd,Queens,11354,40.75636718,-73.83696215,Electronics
Best Buy,5001 Northern Blvd,Queens,11101,40.75370894,-73.9117397,Electronics
Staples,769 Broadway,Manhattan,10003,40.73105907,-73.99228685,Electronics
Salvation Army,4109 Park Ave,Bronx,10457,40.845553,-73.901079,Electronics
Salvation Army,208 E 23 St,Manhattan,10010,40.738365,-73.9824462,Electronics
Gershow Recycling of Brooklyn Inc,1188 Pitkin Ave,Brooklyn,11212,40.67748108,-73.90292646,Electronics
Apple Store,1981 Broadway,Manhattan,10023,40.775064,-73.982637,Electronics
DSNY Special Waste Drop-Off Site,1000 West Service Rd,Staten Island,10312,40.56899487,-74.19338812,Electronics
Staples,9319 5 Ave,Brooklyn,11209,40.6166088,-74.0300263,Electronics
Best Buy,"171 W 230th St, Ste. 103",Bronx,10463,40.87728015,-73.90491584,Electronics
Sims Metal Management East,850 Edgewater Rd,Bronx,10474,40.8184516,-73.8832997,Electronics
Salvation Army,109 2nd Ave,Brooklyn,11215,40.67144018,-73.9942085,Electronics
DSNY Special Waste Drop-Off Site,459 N Henry St,Brooklyn,11222,40.73476,-73.94543,Electronics
Staples,4320 Broadway,Manhattan,10033,40.852234,-73.934259,Electronics
"Allocco Recycling, Ltd.",540 Kingsland Ave,Brooklyn,11222,40.7355308,-73.9443812,Electronics
Micro Center,71-43 Kissena Blvd (Between 71st and 72nd Aves),Queens,11367,40.728866,-73.8150369,Electronics
Big Reuse,1 12th St,Brooklyn,11215,40.6722888,-73.9971998,Electronics
Staples,5 Union Square West,Manhattan,10003,40.73578828,-73.99179116,Electronics
Staples,1760 Utica Ave,Brooklyn,11234,40.62921082,-73.92835207,Electronics
Staples,58-12 Queens Blvd,Queens,11377,40.74128698,-73.9070244,Electronics
Best Buy,610 Exterior St,Bronx,10451,40.82153924,-73.92977867,Electronics
Salvation Army,2053 Clove Rd,Staten Island,10304,40.605057,-74.083695,Electronics
PTK Restorations LLC,59-20 Grand Ave,Queens,11378,40.720542,-73.907551,Electronics
Apple Store,401 W 14 St,Manhattan,10014,40.741335,-74.00555,Electronics
Salvation Army,3911 61 St,Queens,11377,40.746743,-73.9026954,Electronics
Staples,2248 Broadway,Manhattan,10024,40.7848159,-73.9788032,Electronics
Goodwill,4747 Van Dam St,Queens,11101,40.7415286,-73.9337864,Electronics
Staples,2535 Richmond Ave,Staten Island,10314,40.58605531,-74.16669338,Electronics
Staples,675 3 Ave,Manhattan,10017,40.7509006,-73.973911,Electronics
Best Buy,52 E 14th St,Manhattan,10003,40.73451587,-73.99052633,Electronics
Goodwill,2231 3 Ave,Manhattan,10035,40.801328,-73.937068,Electronics
Best Buy,1280 Lexington Ave,Manhattan,10028,40.7798872,-73.9557037,Electronics
Scholes St Recycling Corp,492 Scholes St,Brooklyn,11237,40.71123455,-73.92767114,Electronics
Staples,1880 Coney Island Ave,Brooklyn,11230,40.6118064,-73.9630824,Electronics
Micro Center,850 3rd Ave (31st & 3rd Ave),Brooklyn,11232,40.6588044,-74.003448,Electronics
Staples,409 Gateway Dr,Brooklyn,11239,40.6539242,-73.8732584,Electronics
Staples,93-18 Roosevelt Ave,Queens,11372,40.74868912,-73.87263634,Electronics
Best Buy,2795 Richmond Ave,Staten Island,10314,40.57695637,-74.16738911,Electronics
Apple Store,103 Prince St,Manhattan,10012,40.725117,-73.998979,Electronics
Salvation Army,4109 Park Ave,Bronx,10457,40.84559331,-73.90103116,Electronics
Staples,500 8 Ave,Manhattan,10018,40.7530426,-73.9924445,Electronics
Best Buy,625 Atlantic Ave,Brooklyn,11217,40.6840997,-73.97548098,Electronics
DSNY Special Waste Drop-Off Site,74 Pike Slip,Manhattan,10002,40.71066,-73.99288,Electronics
Apple Store,200 Baychester Avenue,Bronx,10475,40.8638,-73.8278,Electronics
Apple Store,940 Madison Ave,Manhattan,10021,40.773375,-73.964538,Electronics
Lumens,106-15 Sutphin Blvd,Queens,11435,40.6948931,-73.8023815,Electronics
