Sitename,Address,Borough,Zip,Longitude,Latitude,Category
Mazzone Ace Hardware,470 Court St,Brooklyn,11231,-73.99812,40.67806,Paint
Sherwin-Williams,240 Page Ave,Staten Island,10307,-74.23576,40.51758,Paint
Sherwin-Williams,1440 Forest Ave,Staten Island,10302,-74.1363,40.6243,Paint
Sherwin-Williams,3760 Nostrand Ave,Brooklyn,11235,-73.94049,40.59216,Paint
Sherwin-Williams,1748 86th St,Brooklyn,11214,-74.00367,40.60768,Paint
Sherwin-Williams (Closed Feb. 2026),7823 5th Ave,Brooklyn,11209,-74.02365,40.6266,Paint
Sherwin-Williams,107-20 Atlantic Ave,Ozone Park,11416,-73.83756,40.69102,Paint
Sherwin-Williams,6860 Austin St,Forest Hills,11375,-73.85033,40.72207,Paint
Sherwin-Williams,4739 Bell Blvd,Bayside,11361,-73.767,40.7558,Paint
Sherwin-Williams,6216 34th Ave,Woodside,11377,-73.89927,40.75207,Paint
Sunset Ace Hardware (Dropped Aug 2024),8111 5th Ave,Brooklyn,11209,-74.02442,40.62469,Paint
Mazzone Paint Center,211 Smith St,Brooklyn,11201,-73.99178,40.68457,Paint
Mazzone Ace Hardware,245-251 Beach 116 St,Rockaway Park,11694,-73.83789,40.58064,Paint
Sherwin-Williams,1942 37th St,Astoria,11105,-73.90186,40.77878,Paint
Sherwin-Williams,500 Baychester Ave,Bronx,10475,-73.83153,40.86922,Paint
Sherwin-Williams,2333 Cross Bronx Expy,Bronx,10462,-73.84608,40.82929,Paint
Sherwin-Williams,5740 Broadway,Bronx,10463,-73.90154,40.88275,Paint
Sherwin-Williams,4606 3rd Ave,Brooklyn,11220,-74.01274,40.64987,Paint
Sherwin-Williams,555 5th Ave,Brooklyn,11215,-73.98904,40.66564,Paint
Sherwin-Williams,2519 Parsons Blvd,Flushing,11354,-73.82356,40.77615,Paint
Sherwin-Williams,7567 31St Ave,Jackson Heights,11370,-73.89178,40.76012,Paint
Sherwin-Williams,1300 Jericho Turnpike,New Hyde Park,11040,-73.68232,40.73295,Paint
Sherwin-Williams,150 Varick St,New York,10013,-74.00552,40.72603,Paint
Sherwin-Williams,600 Amsterdam Ave,New York,10024,-73.97364,40.78986,Paint
Sherwin-Williams (Closed 2023),1761 1st Ave,New York,10128,-73.94711,40.78025,Paint
Sherwin-Williams,155 E 55th St,New York,10022,-73.96913,40.75934,Paint
Sherwin-Williams (Closed Feb. 2026),554 2nd Ave,New York,10016,-73.977,40.7427,Paint
Sherwin-Williams,125 W 21st St,New York,10011,-73.99478,40.74217,Paint
Sherwin-Williams,619 W 46th St,New York,10036,-73.99741,40.76389,Paint
WR Paint Supply,720 Manhattan Ave,Brooklyn,11222,-73.95193,40.72602,Paint
J and M Hardware ,19 E 21st St,New York,10010,-73.98901,40.73973,Paint
Loconsolo Paints,2660 Coney Island Ave,Brooklyn,11223,-73.9609,40.59188,Paint
Loconsolo of Morris Park,1057 Morris Park Ave,Bronx,10461,-73.8544,40.84911,Paint
Long Island City Paint Store - PPG,51-02 27th St,Long Island City,11101,-73.94295,40.73962,Paint
Jamaica Hardware and Paints ,13101 Jamaica Ave,Richmond Hill,11418,-73.82107,40.70216,Paint
Epsteins Paint Center,562 W 52nd St,New York,10019,-73.99333,40.76686,Paint
Sugar Hill Hardware,529 W 145th St,New York,10031,-73.94914,40.82605,Paint
Certified Boro Park Lumber,4601 New Utrecht Ave,Brooklyn,11219,-73.9943,40.63876,Paint
Whitestone Hardware ,1248 150th St,Whitestone,11357,-73.8142,40.78948,Paint
B and G Hardware,210 Roebling St,Brooklyn,11211,-73.95909,40.7124,Paint
Certified Lumber and Home Center,148 Classon Ave,Brooklyn,11205,-73.96152,40.69533,Paint
Big Reuse,1 12th St,Brooklyn,11215,-73.99658,40.6722,Paint
Nunez Depot,4147 Broadway,New York,10033,-73.93879,40.84675,Paint
Colorall Home Fashions,161-24 Northern Blvd,Flushing,11358,-73.8045,40.7623,Paint
Liberty Paint and Deco,185-26 Union Tpke,Queens,11366,-73.78364,40.7295,Paint
DIY Supplies Color Factory,7419 13th Ave,Brooklyn,11228,-74.00701,40.62058,Paint
Sherwin-Williams,1462 Hylan Blvd,Staten Island,10305,-74.08686,40.59274,Paint
Nelco Hardware (Closed 12/9/24),18-08 College Point Blvd,College Point,11356,-73.84538,40.78856,Paint
K and S Building Supply,901 65th St,Brooklyn,11219,-74.00994,40.63154,Paint
Stillwell Ready Mix and Building Materials,2543 Stillwell Ave,Brooklyn,11214,-73.98285,40.58613,Paint
F and F Supply,1260 Oak Point Ave,Bronx,10474,-73.88723,40.8099,Paint
Best Paint-Benjamin Moore Retail,220-23 Jamaica Ave,Queens Village,11428,-73.73369,40.71947,Paint
Mazzone Ace Hardware,476 Bergen St,Brooklyn,11217,-73.97547,40.68077,Paint
Costellos Ace Hardware,1518 Union Turnpike,New Hyde Park,11040,-73.6919,40.75346,Paint
Costellos Ace Hardware,2323 Jericho Turnpike,Garden City Park,11040,-73.6625,40.74255,Paint
Corner Hardware,2266 Nostrand Ave,Brooklyn,11210,-73.94753,40.62959,Paint
New Park Paint and Wallpaper,1601 Hillside Ave,North New Hyde Park,11040,-73.68529,40.74861,Paint
Zee Hardware,259 Schenectady Ave,Brooklyn,11213,-73.93361,40.66989,Paint
Reliable Supply,6109 7th Ave,Brooklyn,11220,-74.01228,40.6361,Paint
Zee Hardware,259 Schenectady Ave,Brooklyn,11213,-73.93361,40.66989,Paint
Platz Hardware True Value,65-25 Forest Ave,Ridgewood,11385,-73.90356,40.70793,Paint
Rainbow Ace Hardware,1449 1st Ave,New York,10021,-73.95454,40.77015,Paint
DIY Supplies Color Center,8230 18th Ave,Brooklyn,11214,-74.00078,40.60893,Paint
Best Value NY,4095 Park Ave,Bronx,10457,-73.90116,40.84539,Paint
New Generation Hardware Store,1800 Dr M Luther King Blvd,Bronx,10453,-73.91496,40.85101,Paint
Do It Best Hardware of Clinton Hill ( On hold 3-2025),900 Fulton St,Brooklyn,11238,-73.96517,40.68299,Paint
NY Paint and Home Center #1,204-03 Hillside Ave,Hollis,11423,-73.76141,40.72071,Paint
Park Slope Hardware,593 5th Ave,Brooklyn,11215,-73.99008,40.6644,Paint
Alexanders Hardware,1604 Ave M,Brooklyn,11230,-73.95879,40.61802,Paint
Greaves Paint and Hardware,3155 Amboy Rd,Staten Island,10306,-74.13259,40.56382,Paint
Flushing Paint,133-43 35th Ave,Flushing,11354,-73.83345517227010,40.76477252550140,Paint
Colorall Paint II,252-02 Northern Blvd,Little Neck,11362,-73.73604,40.7697,Paint
Harrys Paint and Hardware True Value,8203 Eliot Ave,Middle Village,11379,-73.87729798391630,40.72623116588310,Paint
Hardware Express True Value ( Dropped 2026),829 E New York Ave,Brooklyn,11203,-73.93531,40.66264,Paint
Loconsolo of Steinway,2831 Steinway St,Astoria,11103,-73.91428,40.76453,Paint
Go Greene Hardware,759 Fulton St,Brooklyn,11217,-73.97417,40.68634,Paint
New York Floor and Paint Supplies,1473 5th Ave,New York,10035,-73.945,40.80235,Paint
Atlas Paints Plus,7722 3rd Ave,Brooklyn,11209,-74.02874,40.62952,Paint
Global Paint,1208 Neptune Ave,Brooklyn,11224,-73.98005,40.57899,Paint
Loconsolo of Forest Hills,10310 Metropolitan Ave,Forest Hills,11375,-73.84957,40.71015,Paint
Cappys Paint & Wallpaper Center,235 Jericho Tpke,New Hyde Park,11040,-73.69097847745880,40.73186314723190,Paint
