Sitename,Address,Borough,Zip,Latitude,Longitude,Category
Center for Nursing & Rehabilitation,"520 Prospect Pl, Brooklyn, NY 11238",Brooklyn,11238,40.675125,-73.959525,Pharmaceuticals & Syringes
Calvary Hospital Inc.,"1740 Eastchester Rd, Bronx, NY 10461",Bronx,10461,40.848179,-73.84401,Pharmaceuticals & Syringes
Bedford Center for Nursing and Rehabilitation,"40 Heyward St Brooklyn, NY 11249",Brooklyn,11249,40.700186,-73.958208,Pharmaceuticals & Syringes
Hollis Park Manor Nursing Home,"19106 Hillside Ave, Hollis, NY 11423",Queens,11423,40.715906,-73.770689,Pharmaceuticals & Syringes
Medicine Center Rx LLC,"92 E 167th Street,  Bronx,  NY 10452",Bronx,10452,40.834944,-73.9199,Pharmaceuticals & Syringes
VLV Med Pharmacy Inc,"4085 Broadway,  Manhattan,  NY 10032",Manhattan,10032,40.844324,-73.9394,Pharmaceuticals & Syringes
CVS Pharmacy,"219-39 89th Ave,  Queens,  NY 11427",Queens,11427,40.729579,-73.7434,Pharmaceuticals & Syringes
CFH Wards Island Medical Clinic,"1 Wards Island, New York, NY 10035",Manhattan,10035,40.802501,-73.930881,Pharmaceuticals & Syringes
St. Marys Hospital For Children,"29-01 216th St, Bayside, NY 11360",Queens,11360,40.776586,-73.768889,Pharmaceuticals & Syringes
Bensonhurst Center for Rehabilitation and Healthcare,"1740 84 St Brooklyn, NY 11214",Brooklyn,11214,40.609055,-74.002632,Pharmaceuticals & Syringes
Regal Heights Rehabilitation and Healthcare Center,"70-5 35th Ave Jackson Heights, NY 11372",Queens,11372,40.750844,-73.895165,Pharmaceuticals & Syringes
La Guardia Pharmacy,"101-22 Astoria Boulevard,  Queens,  NY 11369",Queens,11369,40.761389,-73.8675,Pharmaceuticals & Syringes
Duane Reade,"1 Union Square South,  Manhattan,  NY 10003",Manhattan,10003,40.734149,-73.9904,Pharmaceuticals & Syringes
Medicine Shoppe Pharmacy,"1109 Coney Island Ave,  Brooklyn,  NY 11230",Brooklyn,11230,40.63059,-73.9659,Pharmaceuticals & Syringes
Safe Horizon Streetwork Project Lower East Side,"33 Essex St, New York, NY 10002",Manhattan,10002,40.716063,-73.989812,Pharmaceuticals & Syringes
AIDS Center of Queens County,"11-39 Foam Place, Far Rockaway, NY 11691",Queens,11691,40.604768,-73.751438,Pharmaceuticals & Syringes
CVS Pharmacy,"7960 Metropolitan Ave,  Queens,  NY 11379",Queens,11379,40.713265,-73.8723,Pharmaceuticals & Syringes
Walgreens/Duane Reade,"777 Avenue of the Americas,  Manhattan,  NY 10001",Manhattan,10001,40.745257,-73.9915,Pharmaceuticals & Syringes
NYPD 120th Precinct,"78 Richmond Terrace,  Staten Island,  NY 10301",Staten Island,10301,40.644718,-74.0775,Pharmaceuticals & Syringes
Positive Health Project,"301 W 37 St, New York, NY 10018",Manhattan,10018,40.754304,-73.992337,Pharmaceuticals & Syringes
Bronx Park Rehabilitation & Nursing Center,"3845 Carpenter Ave, Bronx, NY 10467",Bronx,10467,40.885872,-73.86525,Pharmaceuticals & Syringes
New York City AIDS Housing Network,"80 4th Ave Brooklyn, NY 11217",Brooklyn,11217,40.682223,-73.980193,Pharmaceuticals & Syringes
Brookdale Hospital Medical Center,"1 Brookdale Plz, Brooklyn, NY 11212",Brooklyn,11212,40.655255,-73.912511,Pharmaceuticals & Syringes
Sheepshead Nursing & Rehabilitation Center,"2840 Knapp St, Brooklyn, NY 11235",Brooklyn,11235,40.585299,-73.931843,Pharmaceuticals & Syringes
Project Hospitality - Multi-Service Center,"514 Bay St, Staten Island, NY, 10304",Staten Island,10304,40.629414,-74.076904,Pharmaceuticals & Syringes
"Jewish Home Lifecare, Harry and Jeanette Weinber Campus","100 W Kingsbridge Rd, Bronx, NY 10468",Bronx,10468,40.868039,-73.902224,Pharmaceuticals & Syringes
Northern Manhattan Nursing Home Inc,"116 E 125th St New York, NY 10035",Manhattan,10035,40.804559,-73.938268,Pharmaceuticals & Syringes
Sure Drugs,"312 Ralph Ave,  Brooklyn,  NY 11233",Brooklyn,11233,40.678495,-73.9218,Pharmaceuticals & Syringes
Greenfield Pharmacy,"1526 Cortelyou Rd,  Brooklyn,  NY 11226",Brooklyn,11226,40.641277,-73.9636,Pharmaceuticals & Syringes
Community Care Pharmacy,"2913 Surf Avenue,  Brooklyn,  NY 11224",Brooklyn,11224,40.573193,-73.9954,Pharmaceuticals & Syringes
Manhattanville Health Care Center,"311 W 231 St, Bronx, NY 10463",Bronx,10463,40.881216,-73.90868,Pharmaceuticals & Syringes
Harlem United Community AIDS Services,"290 Lenox Ave New York, NY 10027",Manhattan,10027,40.807393,-73.945298,Pharmaceuticals & Syringes
Duane Reade,"1498 York Ave,  Manhattan,  NY 10075",Manhattan,10075,40.771572,-73.9499,Pharmaceuticals & Syringes
Planned Parenthood of NYC Project St Beat Mobile Van - Central Office,"349 E 149 St, Bronx, NY 10451",Bronx,10451,40.816861,-73.91971,Pharmaceuticals & Syringes
